Year,TCEQ Registered Entity Reference Number,TCEQ Air Account Number,Organization,Site,Nearby City,County,Latitude (Decimal),Longitude (Decimal),NAICS Code,Industry Description,
2022,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,486210,Pipeline Transportation of Natural Gas,
2022,RN100216647,HF0011W,DRAGON PRODUCTS LTD,NORTH SILSBEE FACILITY                            ,SILSBEE        ,HARDIN,30.37,94.17055555,333132,Oil and Gas Field Machinery and Equipment Manufacturing,
2022,RN101995611,HF0017K,TRECORA HYDROCARBONS LLC,TRECORA HYDROCARBONS SILSBEE                      ,SILSBEE        ,HARDIN,30.39798888,94.22810555,325110,Petrochemical Manufacturing,
2022,RN101985653,HF0019G,MOTIVA ENTERPRISES LLC,SOUR LAKE OLEFINS FACILITY                        ,SOUR LAKE      ,HARDIN,30.15380277,94.42370277,486910,Pipeline Transportation of Refined Petroleum Products,
2022,RN100215987,HF0024N,ETP CRUDE LLC,SOUR LAKE STATION                                 ,SOUR LAKE      ,HARDIN,30.14064444,94.39800555,486110,Pipeline Transportation of Crude Oil,
2022,RN100224088,HF0025L,CITGO PIPELINE COMPANY,SOUR LAKE                                         ,SOUR LAKE      ,HARDIN,30.14527777,94.40333333,486110,Pipeline Transportation of Crude Oil,
2022,RN100214659,HF0034K,CLEARSTREAM WASTEWATER SYSTEMS INC,SILSBEE PLASTICS PLANT                            ,SILSBEE        ,HARDIN,30.349805,94.1416514,326199,All Other Plastics Product Manufacturing,
2022,RN100211838,HF0042L,TRANSCONTINENTAL GAS PIPE LINE COMPANY LLC,STATION 40                                        ,SOUR LAKE      ,HARDIN,30.1775,94.50444444,486210,Pipeline Transportation of Natural Gas,
2022,RN103669735,HFA002B,ENERGY TRANSFER MARKETING & TERMINALS LP,SOUR LAKE B CT STATION                            ,CHESTER        ,HARDIN,30.140025,94.39542777,484230,"Specialized freight (except used goods) trucking, long-distance",
2022,RN105295802,HFA006F,ENTERGY TEXAS INC,HARDIN COUNTY PEAKING FACILITY                    ,KOUNTZE        ,HARDIN,30.30083333,94.25694444,221112,Fossil Fuel Electric Power Generation,
