Year,TCEQ Registered Entity Reference Number,TCEQ Air Account Number,Organization,Site,Nearby City,County,Latitude (Decimal),Longitude (Decimal),TCEQ Contaminant Code,TCEQ Contaminant Name,CAS Number,Annual Emissions (tpy),Ozone Season Emissions (ppd) ,Emissions From SSMS (tpy),Emission Events (tpy),Is Hazardous Air Pollutant (Y/N)?,Is VOC? (Y)?
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,10000,PART-U,0,0.3425,1.8931,0,0,N,
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,20000,PM10 PART-U,0,0.3425,1.8931,0,0,N,
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,39999,TOTAL PM2.5 PARTICULATE,0,0.3425,1.8931,0,0,N,
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,50001,VOC-UNCLASSIFIED,0,2.1834,11.3262,0,0,N,Y
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,51530,METHANOL,67561,0.251,1.3934,0,0,Y,Y
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,51620,ACETALDEHYDE,75070,0.8392,4.6596,0,0,Y,Y
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,51640,ACROLEIN,107028,0.5159,2.8649,0,0,Y,Y
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,51680,FORMALDEHYDE,50000,5.3017,29.4294,0,0,Y,Y
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,52420,BENZENE,71432,0,0,0,0,Y,Y
2019,RN101969194,HF0003V,ENTERPRISE PRODUCTS OPERATING LLC,SILSBEE COMPRESSOR STATION                        ,SILSBEE        ,HARDIN,30.44111944,94.16661666,52450,ETHYL BENZENE,100414,0,0,0,0,Y,Y
